0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
417,0.14496,0.2014,0.23704,0.28635,0.36061,0.38141,0.39745,0.40695,0.41052,0.40992,0.37547,0.32616,0.24833,0.18951,0.15565,0.14555,0.13664
418,0.14674,0.20318,0.23942,0.28932,0.36418,0.38497,0.40161,0.4117,0.41527,0.41408,0.37903,0.32913,0.25011,0.1907,0.15565,0.14496,0.13664
419,0.14852,0.20437,0.2412,0.29229,0.36774,0.38913,0.40576,0.41586,0.41943,0.41824,0.38259,0.3321,0.25189,0.1913,0.15565,0.14496,0.13664
420,0.1503,0.20615,0.24358,0.29526,0.3719,0.39329,0.41052,0.42062,0.42418,0.42299,0.38675,0.33507,0.25368,0.19189,0.15565,0.14496,0.13605
421,0.15209,0.20793,0.24595,0.29823,0.37547,0.39804,0.41527,0.42537,0.42893,0.42775,0.39091,0.33863,0.25546,0.19249,0.15565,0.14436,0.13605
422,0.15328,0.20971,0.24833,0.3018,0.37962,0.4022,0.41943,0.43012,0.43369,0.4325,0.39507,0.3416,0.25724,0.19308,0.15565,0.14436,0.13545
423,0.15565,0.2115,0.25071,0.30536,0.38378,0.40695,0.42477,0.43547,0.43903,0.43784,0.39982,0.34517,0.25902,0.19367,0.15565,0.14436,0.13545
424,0.15743,0.21328,0.25368,0.30893,0.38854,0.4117,0.42953,0.44082,0.44438,0.44319,0.40458,0.34873,0.2614,0.19486,0.15565,0.14377,0.13486
425,0.15981,0.21565,0.25605,0.31249,0.39269,0.41705,0.43487,0.44616,0.44973,0.44854,0.40873,0.3523,0.26318,0.19546,0.15565,0.14377,0.13426
426,0.16219,0.21744,0.25902,0.31606,0.39804,0.4224,0.44022,0.45151,0.45567,0.45389,0.41349,0.35586,0.26496,0.19605,0.15506,0.14318,0.13367
427,0.16397,0.21981,0.26199,0.32021,0.40279,0.42775,0.44616,0.45745,0.46161,0.45983,0.41883,0.36002,0.26734,0.19664,0.15506,0.14258,0.13367
428,0.16635,0.22219,0.26496,0.32378,0.40755,0.43309,0.4521,0.46339,0.46696,0.46517,0.42359,0.36358,0.26972,0.19783,0.15506,0.14258,0.13308
429,0.16872,0.22457,0.26793,0.32794,0.4123,0.43844,0.45745,0.46933,0.4729,0.47111,0.42893,0.36774,0.2715,0.19843,0.15506,0.14199,0.13248
430,0.1711,0.22694,0.27091,0.3321,0.41765,0.44379,0.46339,0.47527,0.47943,0.47765,0.43369,0.3719,0.27388,0.19902,0.15446,0.14199,0.13189
431,0.17407,0.22932,0.27447,0.33626,0.42299,0.44973,0.46993,0.48181,0.48597,0.48359,0.43963,0.37606,0.27625,0.20021,0.15506,0.14199,0.13189
432,0.17644,0.2317,0.27744,0.34041,0.42834,0.45567,0.47587,0.48775,0.49191,0.49012,0.44497,0.38022,0.27863,0.2008,0.15506,0.14139,0.13129
