0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
494,0.56034,0.47619,0.19733,0.19733,0.33399,0.37639,0.32029,0.29941,0.24886,0.1758,0.16014,0.12655,0.12003,0.11709,0.11513,0.11513,0.11448
495,0.56751,0.48141,0.19928,0.19928,0.33627,0.379,0.32224,0.3017,0.25147,0.17841,0.16341,0.12981,0.12329,0.12068,0.1184,0.1184,0.11774
496,0.57404,0.48663,0.20124,0.20124,0.33855,0.38128,0.3242,0.30365,0.25375,0.18134,0.16667,0.1334,0.12688,0.12427,0.12231,0.12231,0.12166
497,0.57991,0.49087,0.20287,0.20287,0.34018,0.38324,0.32583,0.30528,0.25603,0.18428,0.16993,0.13731,0.13079,0.12818,0.1259,0.1259,0.12524
498,0.58578,0.49511,0.2045,0.2045,0.34149,0.38487,0.32714,0.30691,0.25832,0.18721,0.17319,0.14123,0.1347,0.13209,0.13014,0.13014,0.12948
499,0.59067,0.4987,0.20613,0.20613,0.34279,0.3865,0.32844,0.30855,0.26027,0.19015,0.17678,0.14514,0.13894,0.13633,0.13405,0.13438,0.1334
500,0.59524,0.50196,0.20744,0.20744,0.3441,0.3878,0.32975,0.30985,0.26256,0.19341,0.18069,0.14971,0.14318,0.1409,0.13862,0.13862,0.13796
501,0.59915,0.50489,0.20841,0.20841,0.34508,0.38878,0.3304,0.31115,0.26451,0.19635,0.18428,0.15395,0.14775,0.14514,0.14286,0.14318,0.1422
502,0.60241,0.50718,0.20907,0.20907,0.34573,0.38976,0.33138,0.31246,0.26647,0.19961,0.18819,0.15851,0.15264,0.15003,0.14775,0.14808,0.1471
503,0.60502,0.50913,0.20972,0.20972,0.34671,0.39106,0.33235,0.31376,0.26843,0.20287,0.19243,0.16341,0.15721,0.15492,0.15264,0.15264,0.15199
504,0.60665,0.51044,0.21005,0.21005,0.34736,0.39204,0.33333,0.31507,0.27071,0.20646,0.19667,0.1683,0.16243,0.16014,0.15786,0.15786,0.15721
505,0.60763,0.51142,0.21005,0.21005,0.34834,0.39302,0.33431,0.31637,0.27299,0.21005,0.20091,0.17352,0.16765,0.16504,0.16275,0.16308,0.16243
506,0.60763,0.51174,0.21005,0.21005,0.34932,0.39432,0.33562,0.318,0.27528,0.21363,0.20515,0.17873,0.17286,0.17058,0.1683,0.1683,0.16765
507,0.60665,0.51142,0.20972,0.20972,0.35029,0.39563,0.33659,0.31931,0.27789,0.21722,0.20972,0.18395,0.17841,0.1758,0.17352,0.17352,0.17286
